query,allocation,size,elements,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
Semaphore neighbor,alternative,64,126585,0.090755,0.0886082,0.089932,0.0899494,0.0903,0.0994217,0.0868934,0.0852115,0.0885174,0.0922874,0.0905723,0.0917854,0.0905046,0.089818,0.0853095,0.0881298,0.0903042,0.0902317,0.0919693,0.0900818,0.0886634,0.085967,0.0879757,0.0902173,0.094464,0.0902804,0.0900038,0.0881152,0.0876947
Semaphore neighbor,alternative,128,250213,0.162273,0.170836,0.166543,0.166469,0.167561,0.165505,0.176724,0.167245,0.165873,0.176405,0.164813,0.165463,0.164243,0.166826,0.166412,0.162458,0.166543,0.163823,0.16481,0.169482,0.176969,0.16936,0.164196,0.164471,0.166497,0.164314,0.164497,0.166492,0.164359
Semaphore neighbor,local,1,1336,0.0091985,0.0116316,0.0146651,0.0112062,0.00957623,0.0113483,0.021222,0.0123675,0.0116017,0.00928262,0.0114293,0.0176702,0.0112359,0.00922733,0.0155666,0.0113138,0.0112132,0.0152801,0.0110904,0.0112178,0.0151818,0.0115137,0.00921687,0.015827,0.0114438,0.0116699,0.0108707,0.00897989,0.0112008
Semaphore neighbor,local,2,3473,0.0152723,0.0211985,0.015334,0.0154909,0.017592,0.0148996,0.0161526,0.0154654,0.0157758,0.0175857,0.0147499,0.0161054,0.0151818,0.0173208,0.0154867,0.0150148,0.0193161,0.0146366,0.0149165,0.0175139,0.0126361,0.0215917,0.0163235,0.0176563,0.017669,0.0121674,0.0202301,0.017038,0.0171828
Semaphore neighbor,local,4,8115,0.0257201,0.0242443,0.0253136,0.0253802,0.0251719,0.0231072,0.0258254,0.0229492,0.0257501,0.0255553,0.0234503,0.0232787,0.0253839,0.0231306,0.0272237,0.0235631,0.023378,0.0231562,0.0257329,0.0253348,0.0234154,0.0248564,0.0235588,0.0269621,0.0254032,0.0256354,0.0249807,0.0257696,0.027983
Semaphore neighbor,local,8,16242,0.0423749,0.042012,0.0395861,0.0400358,0.0406282,0.0429751,0.0410764,0.0438221,0.040784,0.0429289,0.0420094,0.0427336,0.0418799,0.04067,0.0430943,0.0430665,0.0426927,0.0432702,0.0425064,0.0401144,0.0405469,0.0412924,0.0412161,0.0409981,0.0413106,0.0427449,0.0428448,0.0431283,0.0411202
Semaphore neighbor,local,16,31080,0.0675488,0.070121,0.0699237,0.0687949,0.069136,0.0688102,0.0690225,0.0682356,0.0712543,0.0680591,0.0692882,0.0682887,0.0710164,0.0702463,0.0674218,0.0696049,0.0676112,0.0723055,0.0656644,0.0717597,0.0679114,0.0674267,0.0676412,0.0675827,0.0715587,0.0653387,0.0831273,0.0657197,0.0709303
Semaphore neighbor,local,32,64459,0.134206,0.131438,0.131745,0.130563,0.130825,0.132952,0.130707,0.131933,0.132436,0.132631,0.143397,0.131225,0.131433,0.131724,0.132026,0.132395,0.134779,0.131786,0.131495,0.131903,0.130283,0.131698,0.133439,0.132669,0.131093,0.131448,0.134127,0.142731,0.131406
Semaphore neighbor,local,64,126585,0.244324,0.246604,0.258968,0.248119,0.249299,0.248115,0.24852,0.248368,0.248725,0.248455,0.2484,0.258772,0.24836,0.247597,0.247688,0.248704,0.248509,0.250209,0.246002,0.24631,0.261309,0.248752,0.245653,0.246085,0.248338,0.249472,0.245469,0.246911,0.246128
Semaphore neighbor,local,128,250213,0.479843,0.477848,0.491458,0.479075,0.480191,0.478946,0.480137,0.490754,0.479254,0.480683,0.481122,0.489279,0.479352,0.486663,0.478839,0.479941,0.492333,0.479761,0.479677,0.477804,0.479883,0.49128,0.479634,0.48056,0.481829,0.481206,0.489639,0.479509,0.482102
Switch set,standard,1,1336,0.0103039,0.00933887,0.00675064,0.0093912,0.0110615,0.00954136,0.0116278,0.00860966,0.008619,0.00887986,0.0112195,0.00764084,0.00926988,0.00698729,0.00838817,0.00948512,0.00790216,0.0114845,0.00839047,0.0104623,0.00884132,0.00918559,0.0078342,0.0101303,0.00687334,0.00890965,0.00954749,0.0104729,0.00788241
Switch set,standard,2,3473,0.0100597,0.0115153,0.00846038,0.0148454,0.00981749,0.00764796,0.00864608,0.009553,0.0120363,0.00915085,0.0133367,0.00980891,0.00798765,0.0084953,0.00619881,0.0113426,0.00853621,0.00872083,0.00816294,0.00905515,0.00668817,0.00735439,0.00953834,0.00812727,0.00822581,0.00868883,0.00812081,0.0117037,0.00658588
Switch set,standard,4,8115,0.00910044,0.00892762,0.00665168,0.0111719,0.00810337,0.0105789,0.00881037,0.0107574,0.00754648,0.00750935,0.0100178,0.00695938,0.0122654,0.00932185,0.00685309,0.00712029,0.00951971,0.0122992,0.0088735,0.0132642,0.0098137,0.011624,0.00656923,0.00948447,0.00919298,0.0090869,0.00621191,0.00854605,0.00800591
Switch set,standard,8,16242,0.00941832,0.00910609,0.0103894,0.0078529,0.00607202,0.0100936,0.00933724,0.00621397,0.00645733,0.00898901,0.00893064,0.00880323,0.00903976,0.0106658,0.00902934,0.00619476,0.00801376,0.0119154,0.0105046,0.00687836,0.00863348,0.0107331,0.00683302,0.00844837,0.00843783,0.0093972,0.0109723,0.0101103,0.00712072
Switch set,standard,16,31080,0.0136337,0.0070374,0.00920664,0.00896878,0.00762392,0.0092381,0.0122271,0.00653192,0.00692466,0.0100141,0.0110405,0.00714686,0.00771225,0.0069987,0.0118521,0.00643126,0.00741476,0.0102372,0.0113222,0.00904548,0.00715619,0.00944317,0.0121291,0.0067095,0.0073478,0.00996727,0.011326,0.00660313,0.00719815
Switch set,standard,32,64459,0.00962691,0.0101905,0.0109563,0.0089607,0.0079433,0.00822853,0.01527,0.00937659,0.0118901,0.00939851,0.00754099,0.00718838,0.0131263,0.0103982,0.00864389,0.0089502,0.0088365,0.0138595,0.00719197,0.0113217,0.00744633,0.0073035,0.00729988,0.0111025,0.00738771,0.0106601,0.00802925,0.00899395,0.0117575
Switch set,standard,64,126585,0.00836592,0.0105476,0.0132299,0.00809665,0.0167065,0.0109573,0.00876107,0.00889065,0.0106914,0.0161809,0.00876657,0.00818381,0.0111714,0.00964728,0.00865328,0.00993322,0.00935083,0.00814394,0.00838726,0.0142273,0.00828005,0.0104912,0.00795807,0.0111962,0.00857041,0.00811973,0.010517,0.00872012,0.00898219
Switch set,alternative,1,1336,0.00690307,0.00926674,0.00674149,0.00602594,0.00619035,0.0131577,0.00834074,0.00602611,0.00829154,0.00935548,0.00887434,0.00940969,0.00776102,0.0068144,0.00594857,0.0137637,0.00942156,0.00842649,0.0124737,0.00837491,0.00629847,0.00840087,0.0106368,0.00701439,0.00637189,0.00643746,0.00845965,0.00892096,0.0105238
Switch set,alternative,2,3473,0.0106883,0.00825855,0.00680529,0.00937312,0.00838992,0.0106789,0.00960332,0.00643418,0.00883152,0.00874277,0.00938929,0.00656609,0.00638385,0.00646885,0.00832592,0.0107388,0.00668096,0.0106198,0.0089661,0.00839833,0.0123272,0.00621053,0.00601974,0.00622232,0.00623361,0.00714398,0.0143162,0.00654347,0.00829596
Switch set,alternative,4,8115,0.0106721,0.00907744,0.00828106,0.00945492,0.00831131,0.00784591,0.0113603,0.00695775,0.00931134,0.0102055,0.00647427,0.008684,0.00923835,0.00852913,0.00648352,0.01138,0.0110397,0.00694266,0.00936372,0.0083171,0.00843955,0.0101889,0.00656702,0.00868875,0.00662506,0.0137001,0.00637936,0.00680142,0.00843597
Switch set,alternative,8,16242,0.00659627,0.00761089,0.00872309,0.0112144,0.0114009,0.00976204,0.00858481,0.0105592,0.00948785,0.00873055,0.0078153,0.0060463,0.0106106,0.00652624,0.0090367,0.00911799,0.00651136,0.011561,0.0100201,0.0087878,0.00887604,0.00633241,0.00922811,0.00767914,0.00694434,0.00710767,0.00918682,0.011438,0.00763277
Switch set,alternative,16,31080,0.0133784,0.00643917,0.00700456,0.00829817,0.00868448,0.00929012,0.00842866,0.00623039,0.010805,0.00707856,0.00920621,0.00668878,0.00623943,0.00669545,0.0076167,0.00894706,0.0132155,0.00657399,0.006578,0.00772157,0.00966057,0.0141212,0.00782836,0.00672107,0.00749212,0.00924154,0.0146375,0.0134414,0.00785848
Switch set,alternative,32,64459,0.011878,0.00905157,0.00670655,0.00800603,0.00708853,0.0154573,0.00694608,0.00689454,0.00846351,0.00956813,0.0138479,0.010511,0.00651343,0.00850126,0.00722807,0.00940581,0.0111301,0.00896687,0.00750326,0.0123701,0.00705128,0.00918523,0.00883929,0.00724569,0.0114762,0.00738214,0.00965609,0.010056,0.00669596
Switch set,alternative,64,126585,0.0119441,0.00858424,0.008295,0.00749607,0.00978294,0.0150852,0.00762369,0.00848858,0.00771673,0.0119884,0.0092163,0.00780048,0.00755582,0.0101083,0.0118412,0.00862265,0.00950945,0.00837937,0.0100427,0.00916663,0.00772752,0.00829171,0.0103135,0.0130941,0.00740241,0.0082425,0.00760378,0.0111947,0.0118111
Switch set,alternative,128,250213,0.012324,0.0097975,0.0113829,0.016764,0.010573,0.0105399,0.0133611,0.012962,0.0122211,0.0121397,0.0131217,0.010022,0.0121612,0.0118765,0.0175767,0.0121841,0.0104347,0.0135072,0.0109297,0.0122181,0.0124967,0.0172663,0.0126283,0.0122925,0.0148369,0.0103652,0.0123602,0.0119598,0.0170942
Switch set,local,1,1336,0.0105724,0.00657494,0.00696448,0.00661415,0.00614116,0.00946585,0.0120666,0.00754888,0.0119027,0.0127967,0.00705585,0.00924398,0.0112331,0.00891886,0.00634557,0.00982252,0.00889116,0.00655482,0.00869387,0.00683198,0.00899624,0.00851429,0.00724585,0.0104812,0.00857766,0.0069756,0.00808562,0.00707814,0.00934407
Switch set,local,2,3473,0.00779575,0.00867202,0.00861369,0.0108973,0.00673741,0.00801036,0.00661967,0.00612592,0.00780079,0.0130739,0.00850203,0.00646622,0.00666738,0.00746194,0.0122435,0.00852161,0.00720754,0.00821172,0.00792103,0.00759343,0.00678228,0.00702406,0.00634548,0.00646239,0.00663104,0.0065553,0.00780425,0.00689257,0.00813881
Switch set,local,4,8115,0.00900358,0.00691138,0.00835027,0.00817416,0.00877576,0.0108774,0.00689505,0.00861951,0.00643544,0.00895442,0.0110846,0.00691488,0.00658443,0.00749777,0.00875718,0.0111397,0.00714216,0.00877234,0.00636686,0.00842215,0.0113293,0.0092739,0.00909299,0.00654173,0.00888155,0.0112943,0.00918345,0.00896479,0.00866289
Switch set,local,8,16242,0.00825261,0.0103589,0.0136825,0.0111638,0.0101231,0.00995415,0.013921,0.00690035,0.00686731,0.00654395,0.00890217,0.00933254,0.00925146,0.00673127,0.00929491,0.00940228,0.0161179,0.0170666,0.0115317,0.0114141,0.0111103,0.00702948,0.00820973,0.00894009,0.0101403,0.0134798,0.00839819,0.00666932,0.00745159
Switch set,local,16,31080,0.00953624,0.00964569,0.0120268,0.00761855,0.0119787,0.00963848,0.0116018,0.00953903,0.0120139,0.0077825,0.0111752,0.0101185,0.0107298,0.00993493,0.00965023,0.0124518,0.007779,0.0100463,0.00961765,0.0123488,0.00941866,0.0125278,0.00774779,0.0115238,0.0105069,0.00773775,0.0103539,0.0103503,0.0102302
Switch set,local,32,64459,0.00901775,0.0114503,0.0109249,0.0141171,0.0113293,0.0113408,0.0115756,0.0112285,0.0111359,0.0134116,0.0129165,0.00950644,0.0112351,0.014524,0.0117007,0.0112601,0.0150151,0.0105101,0.0131259,0.0113158,0.0143716,0.0107169,0.0116872,0.0111525,0.0143752,0.0117234,0.0113536,0.0148369,0.0108176
Switch set,local,64,126585,0.0177921,0.0129958,0.0157732,0.0182557,0.0140714,0.0114283,0.0116478,0.0141769,0.0140485,0.0146551,0.0145719,0.0118429,0.0140116,0.0178286,0.0117924,0.0156159,0.0179838,0.0140605,0.0136478,0.0177878,0.0138945,0.0155397,0.0179432,0.0140268,0.0130761,0.0180346,0.0140108,0.0156138,0.0177464
Switch set,local,128,250213,0.0194078,0.0213898,0.0218576,0.0218609,0.0211354,0.019943,0.0202478,0.0211042,0.0214007,0.0198696,0.0215762,0.0216479,0.0195015,0.021561,0.0217105,0.0218139,0.017006,0.0219713,0.0169444,0.021823,0.0220379,0.0199471,0.0217916,0.0196985,0.0205775,0.0193249,0.0221368,0.0210412,0.0220552
